company_code,short_name,board,csv_priority,csv_root_cause,before_status,after_status,before_strict,after_strict,before_reason,after_reason,before_page,after_page,before_anchor,after_anchor,before_value,after_value,before_evidence,after_evidence,changed,improved,regressed,dry_run,error
000039,中集集团,szse_main,P0,profit_statement_研发费用_not_rnd_table,found,found,partial,partial,non-total label '研发费用',non-total label '研发费用',318,318,研发费用,研发费用,"研发费用=1,468,339","研发费用=1,468,339","研发费用 1,468,339 1,275,305 支付的保险费、租金及其他与销售相关的杂费 823,148 1,089,878 支付的保修金 640,484 422,770 支付的销售业务费 396,072 415,893 支付的业务招待费 167,679 165,709 支付的中介费 370,253 500,615 其他 442,080 797,040 合计 4,308,055 4,667,2…","研发费用 1,468,339 1,275,305 支付的保险费、租金及其他与销售相关的杂费 823,148 1,089,878 支付的保修金 640,484 422,770 支付的销售业务费 396,072 415,893 支付的业务招待费 167,679 165,709 支付的中介费 370,253 500,615 其他 442,080 797,040 合计 4,308,055 4,667,2…",False,False,False,True,
000420,吉林化纤,szse_main,P0,profit_statement_研发费用_not_rnd_table,found,found,partial,partial,non-total label '研发费用',non-total label '研发费用',18,18,研发费用,研发费用,"研发费用=29,119,999.79","研发费用=29,119,999.79","研发费用 29,119,999.79 4,832,688.06 502.56% 本年新增研发项目， 研发投入增加 4、研发投入 □适用 不适用 5、现金流 单位：元 项目 2024 年 2023 年 同比增减 经营活动现金流入小计 2,383,133,671.56 2,736,005,091.14 -12.90% 经营活动现金流出小计 2,292,879,708.22 2,493,011,68…","研发费用 29,119,999.79 4,832,688.06 502.56% 本年新增研发项目， 研发投入增加 4、研发投入 □适用 不适用 5、现金流 单位：元 项目 2024 年 2023 年 同比增减 经营活动现金流入小计 2,383,133,671.56 2,736,005,091.14 -12.90% 经营活动现金流出小计 2,292,879,708.22 2,493,011,68…",False,False,False,True,
000516,国际医学,szse_main,P0,profit_statement_研发费用_not_rnd_table,found,found,partial,partial,non-total label '研发费用',non-total label '研发费用',26,26,研发费用,研发费用,"研发费用=6,990,751.27","研发费用=6,990,751.27","研发费用 6,990,751.27 9,811,517.85 -28.75% - 4、研发投入 □适用不适用 5、现金流 单位：元 项目 2024 年 2023 年 同比增减 经营活动现金流入小计 4,839,806,934.78 4,704,988,828.18 2.87% 经营活动现金流出小计 3,830,687,121.57 3,617,654,441.77 5.89% 经营活动产生的现…","研发费用 6,990,751.27 9,811,517.85 -28.75% - 4、研发投入 □适用不适用 5、现金流 单位：元 项目 2024 年 2023 年 同比增减 经营活动现金流入小计 4,839,806,934.78 4,704,988,828.18 2.87% 经营活动现金流出小计 3,830,687,121.57 3,617,654,441.77 5.89% 经营活动产生的现…",False,False,False,True,
000546,金圆股份,szse_main,P0,profit_statement_研发费用_not_rnd_table,found,found,partial,partial,non-total label '研发费用',non-total label '研发费用',21,21,研发费用,研发费用,"研发费用=3,929,093.15","研发费用=3,929,093.15","研发费用 3,929,093.15 -100.00% 本期无研发投入。 4、研发投入 □适用不适用 5、现金流 单位：元 项目 2024 年 2023 年 同比增减 经营活动现金流入小计 7,321,901,519.76 3,978,446,231.41 84.04% 经营活动现金流出小计 7,839,084,982.66 3,421,516,518.98 129.11% 经营活动产生的现金流…","研发费用 3,929,093.15 -100.00% 本期无研发投入。 4、研发投入 □适用不适用 5、现金流 单位：元 项目 2024 年 2023 年 同比增减 经营活动现金流入小计 7,321,901,519.76 3,978,446,231.41 84.04% 经营活动现金流出小计 7,839,084,982.66 3,421,516,518.98 129.11% 经营活动产生的现金流…",False,False,False,True,
000619,海螺新材,szse_main,P0,profit_statement_研发费用_not_rnd_table,found,found,partial,partial,non-total label '研发费用',non-total label '研发费用',77,77,研发费用,研发费用,"研发费用=42,712,820.69","研发费用=42,712,820.69","研发费用 42,712,820.69 36,825,745.27 务费用 财 31,543,644.63 46,159,980.56 ： 其中 利息费用 44,342,107.97 59,280,115.30 利息收入 8,214,463.95 10,137,184.89 ： 加 其他收益 36,907,939.94 45,383,002.23 （ 投资 损失以 收益 “－”号填 ） 列 4,0…","研发费用 42,712,820.69 36,825,745.27 务费用 财 31,543,644.63 46,159,980.56 ： 其中 利息费用 44,342,107.97 59,280,115.30 利息收入 8,214,463.95 10,137,184.89 ： 加 其他收益 36,907,939.94 45,383,002.23 （ 投资 损失以 收益 “－”号填 ） 列 4,0…",False,False,False,True,
000626,远大控股,szse_main,P0,profit_statement_研发费用_not_rnd_table,found,found,partial,partial,non-total label '研发费用',non-total label '研发费用',28,28,研发费用,研发费用,"研发费用=23,055,740.66","研发费用=23,055,740.66","研发费用 23,055,740.66 32,474,942.47 -29.00% 4、研发投入 □适用 不适用 5、现金流 单位：元 项目 2024 年 2023 年 同比增减 经营活动现金流入小计 98,749,992,310.63 97,343,000,977.35 1.45% 经营活动现金流出小计 97,110,834,609.46 97,791,540,522.43 -0.70% 经营…","研发费用 23,055,740.66 32,474,942.47 -29.00% 4、研发投入 □适用 不适用 5、现金流 单位：元 项目 2024 年 2023 年 同比增减 经营活动现金流入小计 98,749,992,310.63 97,343,000,977.35 1.45% 经营活动现金流出小计 97,110,834,609.46 97,791,540,522.43 -0.70% 经营…",False,False,False,True,
000838,*ST发展,szse_main,P0,profit_statement_研发费用_not_rnd_table,found,found,partial,partial,non-total label '研发费用',non-total label '研发费用',20,20,研发费用,研发费用,"研发费用=2,248,209.02","研发费用=2,248,209.02","研发费用 2,248,209.02 1,406,815.65 59.81% 因技改及产品研发需 要新增技术人员 4、研发投入 □适用 不适用 5、现金流 单位：元 项目 2024 年 2023 年 同比增减 经营活动现金流入小计 490,999,229.04 868,838,920.77 -43.49% 经营活动现金流出小计 552,940,627.59 975,507,017.72 -43.…","研发费用 2,248,209.02 1,406,815.65 59.81% 因技改及产品研发需 要新增技术人员 4、研发投入 □适用 不适用 5、现金流 单位：元 项目 2024 年 2023 年 同比增减 经营活动现金流入小计 490,999,229.04 868,838,920.77 -43.49% 经营活动现金流出小计 552,940,627.59 975,507,017.72 -43.…",False,False,False,True,
000862,银星能源,szse_main,P0,profit_statement_研发费用_not_rnd_table,found,found,partial,partial,non-total label '研发费用',non-total label '研发费用',15,15,研发费用,研发费用,"研发费用=3,391,449.59","研发费用=3,391,449.59","研发费用 3,391,449.59 197,654.98 1,615.84% 主要原因系本期研发项目费 用化支出增加影响。 4、研发投入 □适用不适用 5、现金流 单位：元","研发费用 3,391,449.59 197,654.98 1,615.84% 主要原因系本期研发项目费 用化支出增加影响。 4、研发投入 □适用不适用 5、现金流 单位：元",False,False,False,True,
000885,城发环境,szse_main,P0,profit_statement_研发费用_not_rnd_table,found,found,partial,partial,non-total label '研发费用',non-total label '研发费用',20,20,研发费用,研发费用,"研发费用=20,847,470.91","研发费用=20,847,470.91","研发费用 20,847,470.91 49,300,546.69 -57.71% 公司研发支出投入有所减少 4、研发投入 □适用 不适用 5、现金流 单位：元 项目 2024 年 2023 年 同比增减 经营活动现金流入小计 4,479,881,529.65 4,680,206,875.63 -4.28% 经营活动现金流出小计 3,402,529,155.44 3,178,087,862.81…","研发费用 20,847,470.91 49,300,546.69 -57.71% 公司研发支出投入有所减少 4、研发投入 □适用 不适用 5、现金流 单位：元 项目 2024 年 2023 年 同比增减 经营活动现金流入小计 4,479,881,529.65 4,680,206,875.63 -4.28% 经营活动现金流出小计 3,402,529,155.44 3,178,087,862.81…",False,False,False,True,
000888,峨眉山A,szse_main,P0,profit_statement_研发费用_not_rnd_table,found,found,partial,partial,non-total label '研发费用',non-total label '研发费用',18,18,研发费用,研发费用,"研发费用=2,050,537.86","研发费用=2,050,537.86","研发费用 2,050,537.86 1,788,254.14 14.67% 4、研发投入 □适用不适用 5、现金流 单位：元 项目 2024 年 2023 年 同比增减 经营活动现金流入小计 1,087,247,579.66 1,135,113,135.65 -4.22% 经营活动现金流出小计 728,620,168.10 661,172,965.07 10.20% 经营活动产生的现金流量净…","研发费用 2,050,537.86 1,788,254.14 14.67% 4、研发投入 □适用不适用 5、现金流 单位：元 项目 2024 年 2023 年 同比增减 经营活动现金流入小计 1,087,247,579.66 1,135,113,135.65 -4.22% 经营活动现金流出小计 728,620,168.10 661,172,965.07 10.20% 经营活动产生的现金流量净…",False,False,False,True,
