code,short_name,board,current_financial_flag,current_schema_profile,candidate_type,confidence,evidence_keywords,evidence_source,recommended_action,human_review_required,notes
000166,申万宏源,szse_main,false,industrial,broker,high,dominant_securities_business; dominant_futures_business,company_profile,candidate for YAML financial:true + subtype review,yes,Investment holding with securities business as core operating segment
000415,渤海租赁,szse_main,false,industrial,leasing,high,dominant_leasing_business,company_profile,candidate for YAML financial:true + subtype review,yes,Dominant aircraft/container leasing business; fits other_financial/leasing
000563,陕国投A,szse_main,false,industrial,trust,high,dominant_trust_business,company_profile,candidate for YAML financial:true + subtype review,yes,Trust company with trust license and trust business scope
000627,*ST天茂,szse_main,false,industrial,insurer,high,dominant_insurance_business,company_profile,candidate for YAML financial:true + subtype review,yes,Investment holding whose main operating business is insurance via subsidiaries
002839,张家港行,szse_main,false,industrial,bank,high,dominant_bank_business,company_profile,candidate for YAML financial:true + subtype review,yes,Commercial bank; business scope and MD&A are banking operations
300059,东方财富,chinext,false,industrial,broker,high,dominant_futures_business,company_profile,candidate for YAML financial:true + subtype review,yes,Licensed securities/futures brokerage is core business despite internet platform model
600095,湘财股份,sse_main,false,industrial,broker,high,dominant_securities_business,company_profile,candidate for YAML financial:true + subtype review,yes,Operating business dominated by 湘财证券 securities segment
600621,华鑫股份,sse_main,false,industrial,broker,high,dominant_securities_business; dominant_futures_business,company_profile,candidate for YAML financial:true + subtype review,yes,Operating business is securities via 华鑫证券
601318,中国平安,sse_main,false,industrial,insurer,high,diversified_financial_platform,company_profile,candidate for YAML financial:true + subtype review,yes,Major insurance/financial conglomerate; YAML under-tag alongside 601319/601601
601319,中国人保,sse_main,false,industrial,insurer,high,dominant_insurance_business,company_profile,candidate for YAML financial:true + subtype review,yes,Dominant insurance company; reports insurance service income and industry as insurance
601601,中国太保,sse_main,false,industrial,insurer,high,dominant_insurance_business,company_profile,candidate for YAML financial:true + subtype review,yes,Dominant insurance company; segment table shows 太保寿险/太保产险
000532,华金资本,szse_main,false,industrial,financial_holding,medium,name_keyword_资本,yaml_short_name,human review before any YAML change,yes,Name-only hit 华金资本; profile not scanned (no disclosure match); manual add for review
000617,中油资本,szse_main,false,industrial,financial_holding,medium,dominant_trust_business; dominant_bank_business,company_profile,human review before any YAML change,yes,Financial holding with bank/trust/insurance/leasing subsidiaries
000987,越秀资本,szse_main,false,industrial,financial_holding,medium,diversified_financial_platform; dominant_futures_business,company_profile,human review before any YAML change,yes,Historically diversified finance; now mixed with new-energy assets
002423,中粮资本,szse_main,false,industrial,financial_holding,medium,dominant_trust_business; dominant_futures_business,company_profile,human review before any YAML change,yes,Capital platform with trust/futures/insurance exposure
